what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1416179681073
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1416179681566
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179681973
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179687159
error,log,,,"No python nature for project: Bingo",1416179687488
error,log,,,"No python nature for project: Bingo",1416179687491
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179687553
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179693078
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416179695711
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179716526
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179732022
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1416179732071
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416179736318
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1416179736378
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416179742068
error,log,,,"Operation timed out",1416179758721
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179773937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179785072
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1416179785116
activated,view,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1416179787545
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416179787586
closed,view,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1416179787600
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1416179789234
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1416179789278
closed,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1416179789301
started,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1416179789387
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1416179789396
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1416179789400
started,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.tasks.ui",1416179789441
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1416179789475
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1416179789527
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179790965
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179794864
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179795050
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179798562
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179798659
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179802070
error,log,,,"The specified JRE installation does not exist",1416179803682
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179803698
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179810850
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179828072
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179836452
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.properties",1416179836481
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179845327
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179903873
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179922051
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179924390
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1416179924517
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1416179925083
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1416179925105
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,15.0.1.v201111031820-219398,"overlay.com.android.ide.eclipse.adt.overlay",1416179925113
stopped,bundle,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.adt",1416179925114
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1416179925135
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1416179925135
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1416179925135
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1416179925135
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1416179925151
stopped,bundle,com.python.pydev.codecompletion,1.6.5.2011020317,"com.python.pydev.codecompletion",1416179925160
stopped,bundle,com.python.pydev.refactoring,1.6.5.2011020317,"com.python.pydev.refactoring",1416179925192
stopped,bundle,org.python.pydev.mylyn,1.5.5.2010030420,"org.python.pydev.mylyn",1416179925206
stopped,bundle,com.python.pydev.analysis,1.6.5.2011020317,"com.python.pydev.analysis",1416179925206
stopped,bundle,com.python.pydev.debug,1.6.5.2011020317,"com.python.pydev.debug",1416179925206
stopped,bundle,com.python.pydev.fastparser,1.6.5.2011020317,"com.python.pydev.fastparser",1416179925207
stopped,bundle,com.python.pydev,1.6.5.2011020317,"com.python.pydev",1416179925208
stopped,bundle,org.python.pydev.django,1.6.5.2011020317,"org.python.pydev.django",1416179925224
stopped,bundle,org.python.pydev.customizations,1.6.5.2011020317,"org.python.pydev.customizations",1416179925224
stopped,bundle,org.python.pydev.red_core,1.6.5.2011020317,"org.python.pydev.red_core",1416179925254
stopped,bundle,org.python.pydev.debug,1.6.5.2011020317,"org.python.pydev.debug",1416179925254
stopped,bundle,org.python.pydev.refactoring,1.6.5.2011020317,"org.python.pydev.refactoring",1416179925255
stopped,bundle,org.python.pydev.templates,1.5.5.2010030420,"org.python.pydev.templates",1416179925277
stopped,bundle,org.python.pydev,1.6.5.2011020317,"org.python.pydev",1416179925277
stopped,bundle,com.collabnet.subversion.merge,2.2.3,"com.collabnet.subversion.merge",1416179925277
stopped,bundle,org.tigris.subversion.subclipse.graph,1.0.9,"org.tigris.subversion.subclipse.graph",1416179925278
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1416179925278
stopped,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1416179925279
stopped,bundle,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui",1416179925279
stopped,bundle,com.android.ide.eclipse.traceview,15.0.1.v201111031820-219398,"com.android.ide.eclipse.traceview",1416179925279
